scenario,year,g,r_star,r_add,phi,pb,sfa,r_exog,r_phi,r,b,int_gdp,overall
IR shock: +150bp + transient GDP & fiscal pass-through (built on 3),2034,0.0532463768115942,0.042,0.002,0.03,0.00629525929806185,0.0114185084838942,0.044,0.00077273393988153,0.0447727339398815,0.396083651718939,0.0167542332557187,-0.0104589739576569
IR shock: +150bp + transient GDP & fiscal pass-through (built on 3),2035,0.0540579710144928,0.042,0.002,0.03,0.00751265060240963,0.0114185084838942,0.044,0.000831304732291053,0.0448313047322911,0.396522402690991,0.0168462716264078,-0.00933362102399812
IR shock: +150bp + transient GDP & fiscal pass-through (built on 3),2036,0.05,0.042,0.002,0.03,0.00751265060240963,0.0114185084838942,0.044,0.000844467261452622,0.0448444672614526,0.398481323211865,0.0169350818151511,-0.0094224312127415
IR shock: +150bp + transient GDP & fiscal pass-through (built on 3),2037,0.05,0.042,0.002,0.03,0.00751265060240963,0.0114185084838942,0.044,0.000903234877078847,0.0449032348770789,0.400452928035939,0.0170410480479158,-0.00952839744550614
IR shock: +150bp + transient GDP & fiscal pass-through (built on 3),2038,0.05,0.042,0.002,0.03,0.00751265060240963,0.0114185084838942,0.044,0.000962383021801048,0.0449623830218011,0.40243752070862,0.0171479218405272,-0.00963527123811761
IR shock: +150bp + transient GDP & fiscal pass-through (built on 3),2039,0.05,0.042,0.002,0.03,0.00751265060240963,0.0114185084838942,0.044,0.00102192080198149,0.0450219208019815,0.404435411113589,0.0172557239857993,-0.00974307338338968
IR shock: +150bp + transient GDP & fiscal pass-through (built on 3),2040,0.05,0.042,0.002,0.03,0.00751265060240963,0.0114185084838942,0.044,0.00108185751413055,0.0450818575141306,0.406446915682513,0.0173644757880873,-0.00985182518567762
IR shock: +150bp + transient GDP & fiscal pass-through (built on 3),2041,0.05,0.042,0.002,0.03,0.00751265060240963,0.0114185084838942,0.044,0.00114220265119829,0.0451422026511983,0.408472357612159,0.0174741990806615,-0.00996154847825182
IR shock: +150bp + transient GDP & fiscal pass-through (built on 3),2042,0.05,0.042,0.002,0.03,0.00751265060240963,0.0114185084838942,0.044,0.00120296590908765,0.0452029659090877,0.410512067089204,0.0175849162437591,-0.0100722656413495
IR shock: +150bp + transient GDP & fiscal pass-through (built on 3),2043,0.05,0.042,0.002,0.03,0.00751265060240963,0.0114185084838942,0.044,0.00126415719339902,0.045264157193399,0.41256638152312,0.0176966502233456,-0.010183999620936
IR shock: +150bp + transient GDP & fiscal pass-through (built on 3),2044,0.05,0.042,0.002,0.03,0.00751265060240963,0.0114185084838942,0.044,0.00132578662641649,0.0453257866264165,0.414635645787456,0.0178094245506187,-0.0102967739482091
IR shock: +150bp + transient GDP & fiscal pass-through (built on 3),2045,0.05,0.042,0.002,0.03,0.00751265060240963,0.0114185084838942,0.044,0.00138786455434656,0.0453878645543466,0.416720212469923,0.0179232633622905,-0.0104106127598809
IR shock: +150bp + transient GDP & fiscal pass-through (built on 3),2046,0.05,0.042,0.002,0.03,0.00751265060240963,0.0114185084838942,0.044,0.00145040155482059,0.0454504015548206,0.418820442131667,0.018038191421684,-0.0105255408192743
IR shock: +150bp + transient GDP & fiscal pass-through (built on 3),2047,0.05,0.042,0.002,0.03,0.00751265060240963,0.0114185084838942,0.044,0.0015134084446729,0.0455134084446729,0.420936703576136,0.0181542341406829,-0.0106415835382733
