time,n.risk,n.event,n.censor,survival_prob.1,survival_prob.2,std.err.1,std.err.2
260,148283,0,0,0.258105565587356,0.218680434207676,0.000580647377541787,0.00295771140373316
261,148283,0,0,0.258105565587356,0.218680434207676,0.000580647377541787,0.00295771140373316
262,148283,0,0,0.258105565587356,0.218680434207676,0.000580647377541787,0.00295771140373316
263,148283,0,0,0.258105565587356,0.218680434207676,0.000580647377541787,0.00295771140373316
264,148283,0,0,0.258105565587356,0.218680434207676,0.000580647377541787,0.00295771140373316
265,148283,0,0,0.258105565587356,0.218680434207676,0.000580647377541787,0.00295771140373316
266,148283,780,0,0.256750729398164,0.217392476398461,0.000579650898287896,0.00295172256097303
267,147503,0,0,0.256750729398164,0.217392476398461,0.000579650898287896,0.00295172256097303
268,147503,0,0,0.256750729398164,0.217392476398461,0.000579650898287896,0.00295172256097303
269,147503,0,0,0.256750729398164,0.217392476398461,0.000579650898287896,0.00295172256097303
270,147503,0,0,0.256750729398164,0.217392476398461,0.000579650898287896,0.00295172256097303
271,147503,0,0,0.256750729398164,0.217392476398461,0.000579650898287896,0.00295172256097303
272,147503,0,0,0.256750729398164,0.217392476398461,0.000579650898287896,0.00295172256097303
273,147503,336,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
274,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
275,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
276,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
277,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
278,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
279,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
280,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
281,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
282,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
283,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
284,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
285,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
286,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
287,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
288,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
289,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
290,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
291,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
292,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
293,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
294,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
295,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
296,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
297,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
298,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
299,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
300,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
301,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
302,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
303,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
304,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
305,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
306,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
307,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
308,147167,0,0,0.256167103551811,0.216837915923156,0.000579219385943409,0.00294912318150575
